NPI,Doctor_Name,Specialty,Territory_ID,Prescriber_Decile,Is_KOL,Affiliated_Hospital_System
NPI_1000000144,Dr. Provider_144,Endocrinologist,TER_WE_02,2,0,HealthSystem_10
NPI_1000000145,Dr. Provider_145,Endocrinologist,TER_NE_01,2,0,HealthSystem_12
NPI_1000000146,Dr. Provider_146,Cardiologist,TER_SO_01,4,0,HealthSystem_3
NPI_1000000147,Dr. Provider_147,Rheumatologist,TER_NE_02,1,0,HealthSystem_2
NPI_1000000148,Dr. Provider_148,Endocrinologist,TER_WE_02,3,0,HealthSystem_9
NPI_1000000149,Dr. Provider_149,Cardiologist,TER_MW_02,4,0,HealthSystem_13
NPI_1000000150,Dr. Provider_150,Cardiologist,TER_NE_01,2,0,HealthSystem_6
NPI_1000000151,Dr. Provider_151,Endocrinologist,TER_WE_02,1,0,HealthSystem_9
NPI_1000000152,Dr. Provider_152,Cardiologist,TER_MW_01,1,0,HealthSystem_6
NPI_1000000153,Dr. Provider_153,Endocrinologist,TER_MW_02,8,0,HealthSystem_17
NPI_1000000154,Dr. Provider_154,Endocrinologist,TER_SO_02,5,1,HealthSystem_15
NPI_1000000155,Dr. Provider_155,Endocrinologist,TER_NE_02,2,0,HealthSystem_6
NPI_1000000156,Dr. Provider_156,Oncologist,TER_MW_02,3,0,HealthSystem_17
NPI_1000000157,Dr. Provider_157,Endocrinologist,TER_NE_01,4,0,HealthSystem_5
NPI_1000000158,Dr. Provider_158,Endocrinologist,TER_WE_01,3,0,HealthSystem_1
NPI_1000000159,Dr. Provider_159,Endocrinologist,TER_WE_02,1,0,HealthSystem_12
NPI_1000000160,Dr. Provider_160,Cardiologist,TER_WE_02,6,0,HealthSystem_5
NPI_1000000161,Dr. Provider_161,Cardiologist,TER_NE_01,4,0,HealthSystem_3
NPI_1000000162,Dr. Provider_162,Cardiologist,TER_NE_01,7,0,HealthSystem_18
NPI_1000000163,Dr. Provider_163,Cardiologist,TER_WE_02,10,0,HealthSystem_3
NPI_1000000164,Dr. Provider_164,Cardiologist,TER_WE_02,5,0,HealthSystem_8
NPI_1000000165,Dr. Provider_165,Internal Medicine,TER_SO_01,2,0,HealthSystem_5
NPI_1000000166,Dr. Provider_166,Internal Medicine,TER_MW_01,4,0,HealthSystem_13
NPI_1000000167,Dr. Provider_167,Endocrinologist,TER_NE_02,6,0,HealthSystem_14
NPI_1000000168,Dr. Provider_168,Internal Medicine,TER_SO_01,2,0,HealthSystem_15
NPI_1000000169,Dr. Provider_169,Endocrinologist,TER_NE_01,8,0,HealthSystem_14
NPI_1000000170,Dr. Provider_170,Cardiologist,TER_WE_02,4,0,HealthSystem_6
NPI_1000000171,Dr. Provider_171,Cardiologist,TER_MW_01,2,0,HealthSystem_15
NPI_1000000172,Dr. Provider_172,Internal Medicine,TER_NE_01,4,0,HealthSystem_4
NPI_1000000173,Dr. Provider_173,Oncologist,TER_NE_01,2,0,HealthSystem_1
NPI_1000000174,Dr. Provider_174,Cardiologist,TER_SO_02,5,0,HealthSystem_10
NPI_1000000175,Dr. Provider_175,Cardiologist,TER_SO_02,4,0,HealthSystem_13
NPI_1000000176,Dr. Provider_176,Cardiologist,TER_WE_02,3,0,HealthSystem_15
NPI_1000000177,Dr. Provider_177,Endocrinologist,TER_SO_01,5,0,HealthSystem_19
NPI_1000000178,Dr. Provider_178,Endocrinologist,TER_NE_02,2,0,HealthSystem_11
NPI_1000000179,Dr. Provider_179,Oncologist,TER_WE_02,4,0,HealthSystem_15
NPI_1000000180,Dr. Provider_180,Cardiologist,TER_MW_01,1,0,HealthSystem_18
NPI_1000000181,Dr. Provider_181,Rheumatologist,TER_WE_01,5,0,HealthSystem_12
NPI_1000000182,Dr. Provider_182,Endocrinologist,TER_MW_02,6,0,HealthSystem_10
NPI_1000000183,Dr. Provider_183,Rheumatologist,TER_WE_01,4,0,HealthSystem_14
NPI_1000000184,Dr. Provider_184,Internal Medicine,TER_SO_02,8,0,HealthSystem_5
NPI_1000000185,Dr. Provider_185,Oncologist,TER_SO_02,1,0,HealthSystem_1
NPI_1000000186,Dr. Provider_186,Internal Medicine,TER_WE_01,2,0,HealthSystem_15
NPI_1000000187,Dr. Provider_187,Cardiologist,TER_NE_01,2,0,HealthSystem_9
NPI_1000000188,Dr. Provider_188,Cardiologist,TER_MW_02,4,0,HealthSystem_2
NPI_1000000189,Dr. Provider_189,Endocrinologist,TER_MW_01,5,0,HealthSystem_11
NPI_1000000190,Dr. Provider_190,Cardiologist,TER_MW_01,1,0,HealthSystem_7
NPI_1000000191,Dr. Provider_191,Cardiologist,TER_SO_01,8,0,HealthSystem_11
NPI_1000000192,Dr. Provider_192,Rheumatologist,TER_MW_02,2,0,HealthSystem_17
NPI_1000000193,Dr. Provider_193,Oncologist,TER_NE_01,4,0,HealthSystem_8
NPI_1000000194,Dr. Provider_194,Endocrinologist,TER_NE_01,2,0,HealthSystem_19
NPI_1000000195,Dr. Provider_195,Cardiologist,TER_MW_01,2,0,HealthSystem_17
NPI_1000000196,Dr. Provider_196,Cardiologist,TER_SO_02,7,0,HealthSystem_1
NPI_1000000197,Dr. Provider_197,Rheumatologist,TER_WE_01,3,0,HealthSystem_17
NPI_1000000198,Dr. Provider_198,Endocrinologist,TER_SO_02,6,0,HealthSystem_8
NPI_1000000199,Dr. Provider_199,Internal Medicine,TER_WE_01,6,0,HealthSystem_19
NPI_1000000200,Dr. Provider_200,Rheumatologist,TER_MW_02,6,1,HealthSystem_18
NPI_1000000201,Dr. Provider_201,Internal Medicine,TER_WE_02,1,0,HealthSystem_8
NPI_1000000202,Dr. Provider_202,Cardiologist,TER_WE_01,4,0,HealthSystem_15
NPI_1000000203,Dr. Provider_203,Rheumatologist,TER_MW_01,2,0,HealthSystem_14
NPI_1000000204,Dr. Provider_204,Internal Medicine,TER_MW_02,9,0,HealthSystem_14
NPI_1000000205,Dr. Provider_205,Cardiologist,TER_WE_02,1,0,HealthSystem_1
NPI_1000000206,Dr. Provider_206,Cardiologist,TER_MW_01,1,0,HealthSystem_18
NPI_1000000207,Dr. Provider_207,Internal Medicine,TER_WE_01,4,0,HealthSystem_2
NPI_1000000208,Dr. Provider_208,Endocrinologist,TER_WE_01,2,0,HealthSystem_6
NPI_1000000209,Dr. Provider_209,Rheumatologist,TER_NE_01,3,0,HealthSystem_12
NPI_1000000210,Dr. Provider_210,Cardiologist,TER_NE_02,4,1,HealthSystem_17
NPI_1000000211,Dr. Provider_211,Endocrinologist,TER_NE_01,2,0,HealthSystem_13
NPI_1000000212,Dr. Provider_212,Endocrinologist,TER_NE_01,1,0,HealthSystem_4
NPI_1000000213,Dr. Provider_213,Cardiologist,TER_SO_01,1,0,HealthSystem_11
NPI_1000000214,Dr. Provider_214,Internal Medicine,TER_WE_02,1,0,HealthSystem_6
NPI_1000000215,Dr. Provider_215,Cardiologist,TER_SO_01,5,0,HealthSystem_10
NPI_1000000216,Dr. Provider_216,Cardiologist,TER_MW_01,8,0,HealthSystem_8
NPI_1000000217,Dr. Provider_217,Cardiologist,TER_SO_01,5,0,HealthSystem_13
NPI_1000000218,Dr. Provider_218,Internal Medicine,TER_SO_01,3,0,HealthSystem_2
NPI_1000000219,Dr. Provider_219,Cardiologist,TER_MW_01,1,0,HealthSystem_19
NPI_1000000220,Dr. Provider_220,Cardiologist,TER_SO_01,7,0,HealthSystem_4
NPI_1000000221,Dr. Provider_221,Rheumatologist,TER_WE_01,4,1,HealthSystem_15
NPI_1000000222,Dr. Provider_222,Oncologist,TER_SO_02,5,0,HealthSystem_4
NPI_1000000223,Dr. Provider_223,Endocrinologist,TER_MW_01,4,0,HealthSystem_13
NPI_1000000224,Dr. Provider_224,Cardiologist,TER_NE_01,6,0,HealthSystem_9
NPI_1000000225,Dr. Provider_225,Endocrinologist,TER_NE_01,3,0,HealthSystem_10
NPI_1000000226,Dr. Provider_226,Endocrinologist,TER_MW_01,6,0,HealthSystem_12
NPI_1000000227,Dr. Provider_227,Oncologist,TER_SO_02,4,0,HealthSystem_12
NPI_1000000228,Dr. Provider_228,Internal Medicine,TER_NE_01,1,1,HealthSystem_17
NPI_1000000229,Dr. Provider_229,Cardiologist,TER_SO_02,9,0,HealthSystem_17
NPI_1000000230,Dr. Provider_230,Rheumatologist,TER_SO_02,4,1,HealthSystem_18
NPI_1000000231,Dr. Provider_231,Endocrinologist,TER_WE_01,5,0,HealthSystem_15
NPI_1000000232,Dr. Provider_232,Cardiologist,TER_WE_02,8,0,HealthSystem_7
NPI_1000000233,Dr. Provider_233,Cardiologist,TER_SO_01,5,0,HealthSystem_8
NPI_1000000234,Dr. Provider_234,Oncologist,TER_WE_01,6,0,HealthSystem_7
NPI_1000000235,Dr. Provider_235,Endocrinologist,TER_MW_01,6,0,HealthSystem_3
NPI_1000000236,Dr. Provider_236,Endocrinologist,TER_SO_01,1,0,HealthSystem_8
NPI_1000000237,Dr. Provider_237,Endocrinologist,TER_WE_01,1,0,HealthSystem_17
NPI_1000000238,Dr. Provider_238,Endocrinologist,TER_SO_02,2,0,HealthSystem_16
NPI_1000000239,Dr. Provider_239,Endocrinologist,TER_MW_02,2,0,HealthSystem_10
NPI_1000000240,Dr. Provider_240,Oncologist,TER_MW_01,7,0,HealthSystem_3
NPI_1000000241,Dr. Provider_241,Cardiologist,TER_SO_02,2,0,HealthSystem_12
NPI_1000000242,Dr. Provider_242,Rheumatologist,TER_WE_02,2,0,HealthSystem_7
NPI_1000000243,Dr. Provider_243,Endocrinologist,TER_NE_01,2,0,HealthSystem_14
NPI_1000000244,Dr. Provider_244,Cardiologist,TER_NE_02,2,0,HealthSystem_16
NPI_1000000245,Dr. Provider_245,Cardiologist,TER_SO_02,1,0,HealthSystem_4
NPI_1000000246,Dr. Provider_246,Cardiologist,TER_NE_02,6,0,HealthSystem_6
NPI_1000000247,Dr. Provider_247,Oncologist,TER_WE_01,9,0,HealthSystem_13
NPI_1000000248,Dr. Provider_248,Oncologist,TER_WE_01,10,0,HealthSystem_19
NPI_1000000249,Dr. Provider_249,Endocrinologist,TER_NE_02,1,0,HealthSystem_9
NPI_1000000250,Dr. Provider_250,Cardiologist,TER_MW_01,6,0,HealthSystem_15
NPI_1000000251,Dr. Provider_251,Cardiologist,TER_NE_01,8,1,HealthSystem_10
NPI_1000000252,Dr. Provider_252,Endocrinologist,TER_NE_02,5,0,HealthSystem_3
NPI_1000000253,Dr. Provider_253,Cardiologist,TER_WE_02,5,0,HealthSystem_4
NPI_1000000254,Dr. Provider_254,Endocrinologist,TER_NE_02,3,0,HealthSystem_9
NPI_1000000255,Dr. Provider_255,Cardiologist,TER_NE_02,7,0,HealthSystem_8
NPI_1000000256,Dr. Provider_256,Internal Medicine,TER_MW_01,1,0,HealthSystem_15
NPI_1000000257,Dr. Provider_257,Cardiologist,TER_MW_01,5,0,HealthSystem_6
NPI_1000000258,Dr. Provider_258,Oncologist,TER_WE_02,5,0,HealthSystem_17
NPI_1000000259,Dr. Provider_259,Cardiologist,TER_SO_01,3,0,HealthSystem_3
NPI_1000000260,Dr. Provider_260,Cardiologist,TER_NE_02,4,0,HealthSystem_1
NPI_1000000261,Dr. Provider_261,Internal Medicine,TER_MW_01,7,0,HealthSystem_16
NPI_1000000262,Dr. Provider_262,Rheumatologist,TER_MW_01,2,1,HealthSystem_4
NPI_1000000263,Dr. Provider_263,Rheumatologist,TER_SO_02,1,0,HealthSystem_13
NPI_1000000264,Dr. Provider_264,Internal Medicine,TER_MW_01,7,0,HealthSystem_11
NPI_1000000265,Dr. Provider_265,Cardiologist,TER_WE_01,1,0,HealthSystem_14
NPI_1000000266,Dr. Provider_266,Rheumatologist,TER_MW_02,1,0,HealthSystem_14
NPI_1000000267,Dr. Provider_267,Cardiologist,TER_NE_01,4,0,HealthSystem_13
NPI_1000000268,Dr. Provider_268,Rheumatologist,TER_SO_02,2,0,HealthSystem_9
NPI_1000000269,Dr. Provider_269,Oncologist,TER_WE_01,3,0,HealthSystem_5
NPI_1000000270,Dr. Provider_270,Cardiologist,TER_MW_02,1,0,HealthSystem_4
NPI_1000000271,Dr. Provider_271,Cardiologist,TER_NE_01,6,0,HealthSystem_1
NPI_1000000272,Dr. Provider_272,Cardiologist,TER_WE_02,1,0,HealthSystem_15
NPI_1000000273,Dr. Provider_273,Oncologist,TER_MW_02,4,0,HealthSystem_12
NPI_1000000274,Dr. Provider_274,Cardiologist,TER_MW_01,6,0,HealthSystem_19
NPI_1000000275,Dr. Provider_275,Cardiologist,TER_WE_01,3,0,HealthSystem_4
NPI_1000000276,Dr. Provider_276,Endocrinologist,TER_SO_01,7,0,HealthSystem_11
NPI_1000000277,Dr. Provider_277,Cardiologist,TER_NE_02,6,0,HealthSystem_11
NPI_1000000278,Dr. Provider_278,Cardiologist,TER_NE_01,9,0,HealthSystem_15
NPI_1000000279,Dr. Provider_279,Endocrinologist,TER_MW_01,9,0,HealthSystem_5
NPI_1000000280,Dr. Provider_280,Oncologist,TER_NE_01,2,0,HealthSystem_2
NPI_1000000281,Dr. Provider_281,Cardiologist,TER_WE_02,7,0,HealthSystem_18
NPI_1000000282,Dr. Provider_282,Internal Medicine,TER_WE_02,4,0,HealthSystem_17
NPI_1000000283,Dr. Provider_283,Cardiologist,TER_WE_02,6,0,HealthSystem_7
NPI_1000000284,Dr. Provider_284,Rheumatologist,TER_WE_02,2,0,HealthSystem_3
NPI_1000000285,Dr. Provider_285,Cardiologist,TER_WE_01,3,0,HealthSystem_17
NPI_1000000286,Dr. Provider_286,Rheumatologist,TER_MW_02,3,0,HealthSystem_2
NPI_1000000287,Dr. Provider_287,Rheumatologist,TER_MW_01,10,0,HealthSystem_18
NPI_1000000288,Dr. Provider_288,Rheumatologist,TER_NE_02,3,0,HealthSystem_11
NPI_1000000289,Dr. Provider_289,Rheumatologist,TER_NE_01,9,0,HealthSystem_11
NPI_1000000290,Dr. Provider_290,Endocrinologist,TER_WE_02,1,0,HealthSystem_14
NPI_1000000291,Dr. Provider_291,Cardiologist,TER_WE_02,3,0,HealthSystem_1
NPI_1000000292,Dr. Provider_292,Endocrinologist,TER_WE_02,9,0,HealthSystem_1
